doi_url,has_funderIdentifiers
https://doi.org/10.7910/DVN/9FECOZ,False
https://doi.org/10.7910/DVN/FCNTSN,False
https://doi.org/10.7910/DVN/VRPUFU,False
https://doi.org/10.7910/DVN/HKVLDW,False
https://doi.org/10.7910/DVN/FVI3QW,False
https://doi.org/10.7910/DVN/GKY9Q5,False
https://doi.org/10.7910/DVN/Y8FUSX,False
https://doi.org/10.7910/DVN/C2MHTH,False
https://doi.org/10.7910/DVN/UOYNBB,False
https://doi.org/10.7910/DVN/UZLAAU,False
https://doi.org/10.7910/DVN/IVNYID,False
https://doi.org/10.7910/DVN/T7BZ5I,False
https://doi.org/10.7910/DVN/NFDDTC,False
https://doi.org/10.7910/DVN/NH5TTC,False
https://doi.org/10.7910/DVN/PYJSYC,False
https://doi.org/10.7910/DVN/M2QJN6,False
https://doi.org/10.7910/DVN/OHMYNG,False
https://doi.org/10.7910/DVN/QYEBIN,False
https://doi.org/10.7910/DVN/LXU0WD,False
https://doi.org/10.7910/DVN/X7EYAN,False
https://doi.org/10.7910/DVN/OKHGAB,False
https://doi.org/10.7910/DVN/DZKXUG,False
https://doi.org/10.7910/DVN/MUJU6A,False
https://doi.org/10.7910/DVN/KI1AOC,False
https://doi.org/10.7910/DVN/OZ2MXB,False
https://doi.org/10.7910/DVN/4MYRSF,False
https://doi.org/10.7910/DVN/HMXJLK,False
https://doi.org/10.7910/DVN/PR2C7H,False
https://doi.org/10.7910/DVN/PDX8GA,False
https://doi.org/10.7910/DVN/VTXNW3,False
https://doi.org/10.7910/DVN/ZBYVFY,False
https://doi.org/10.7910/DVN/1Z73ZI,False
https://doi.org/10.7910/DVN/RXNSMD,False
https://doi.org/10.7910/DVN/ZMYOVQ,False
https://doi.org/10.7910/DVN/W6UAHQ,False
https://doi.org/10.7910/DVN/2ES4C1,False
https://doi.org/10.7910/DVN/TYYERX,False
https://doi.org/10.7910/DVN/0IS1YE,False
https://doi.org/10.7910/DVN/IKBNRL,False
https://doi.org/10.7910/DVN/7FNTZ7,False
https://doi.org/10.7910/DVN/TZXDMF,False
https://doi.org/10.7910/DVN/J2KYGN,False
https://doi.org/10.7910/DVN/6PBH8F,False
https://doi.org/10.7910/DVN/ZVPZAN,False
