subject_id,subject_id_doi_authority,relation_type,object_id,occured_at,timestamp
https://doi.org/10.1186/s40623-023-01767-x,10.1186,references,https://doi.org/10.7910/DVN/WWRT1V,2023-01-20T21:14:51.000Z,2023-01-22T08:55:37.121Z
https://doi.org/10.1080/10609164.2022.2147303,10.1080,references,https://doi.org/10.7910/DVN/YPEU5E,2023-01-20T13:15:40.000Z,2023-01-22T08:55:58.559Z
https://doi.org/10.1017/s1049096522001287,10.1017,references,https://doi.org/10.7910/DVN/MPYI5D,2023-01-20T12:18:32.000Z,2023-01-22T08:55:58.457Z
https://doi.org/10.5281/zenodo.7388333,10.5281,cites,https://doi.org/10.7910/DVN/RHPVNC,2023-01-20T01:11:29.000Z,2023-01-20T01:11:30.027Z
https://doi.org/10.1038/s41597-022-01721-8,10.1038,references,https://doi.org/10.7910/DVN/DBW86T,2023-01-19T11:16:25.000Z,2023-01-20T08:55:48.144Z
https://doi.org/10.1016/j.jik.2023.100306,10.1016,references,https://doi.org/10.7910/DVN/JIISNB,2023-01-18T07:41:14.000Z,2023-01-19T08:56:07.618Z
https://doi.org/10.26441/rc22.1-2023-2989,10.26441,references,https://doi.org/10.7910/DVN/5QS2XP,2023-01-16T08:14:54.000Z,2023-01-19T08:55:34.446Z
https://doi.org/10.1145/3452383.3452387,10.1145,references,https://doi.org/10.7910/DVN/SYBGZL,2023-01-14T23:12:30.000Z,2023-01-18T08:56:12.488Z
https://doi.org/10.1177/00104140231152769,10.1177,references,https://doi.org/10.7910/DVN/Y3YYKC,2023-01-14T13:15:36.000Z,2023-01-20T08:55:47.904Z
https://doi.org/10.3389/fpubh.2022.958517,10.3389,references,https://doi.org/10.7910/DVN/RQYO9E,2023-01-13T05:48:16.000Z,2023-01-17T08:55:59.435Z
https://doi.org/10.1111/maec.12733,10.1111,references,https://doi.org/10.7910/DVN/JMW4NY,2023-01-13T05:47:54.000Z,2023-01-17T08:56:09.724Z
https://doi.org/10.1017/s104909652200138x,10.1017,references,https://doi.org/10.7910/DVN/OM9HES,2023-01-13T05:47:18.000Z,2023-01-17T08:56:20.112Z
https://doi.org/10.3390/math11020400,10.3390,references,https://doi.org/10.7910/DVN/7W68ED,2023-01-12T12:19:20.000Z,2023-01-17T08:55:37.154Z
https://doi.org/10.1017/s104909652200124x,10.1017,references,https://doi.org/10.7910/DVN/N8WNB1,2023-01-12T10:43:51.000Z,2023-01-14T08:55:37.004Z
https://doi.org/10.1002/fsn3.3044,10.1002,references,https://doi.org/10.7910/DVN/NXKLZJ,2023-01-12T09:41:56.000Z,2023-01-17T08:55:47.945Z
https://doi.org/10.1017/pan.2022.1,10.1017,references,https://doi.org/10.7910/DVN/UDFZJD,2023-01-11T09:13:00.000Z,2023-01-18T08:55:49.891Z
https://doi.org/10.1017/pan.2022.1,10.1017,references,https://doi.org/10.7910/DVN/TDOAPG,2023-01-11T09:13:00.000Z,2023-01-18T08:55:50.225Z
https://doi.org/10.1017/pan.2021.28,10.1017,references,https://doi.org/10.7910/DVN/1JHZIU,2023-01-11T09:12:32.000Z,2023-01-17T08:55:48.691Z
https://doi.org/10.1017/s1049096522001305,10.1017,references,https://doi.org/10.7910/DVN/C61HF9,2023-01-11T08:15:11.000Z,2023-01-19T08:55:45.223Z
https://doi.org/10.5194/hess-25-5381-2021,10.5194,references,https://doi.org/10.7910/DVN/GWXWMB,2023-01-11T06:41:04.000Z,2023-01-13T08:55:27.204Z
https://doi.org/10.14201/rlop.27287,10.14201,references,https://doi.org/10.7910/DVN/NPQYLD,2023-01-10T11:41:06.000Z,2023-01-17T08:56:09.758Z
